State,Record Type,Source Name,Coverage Level,Last Refresh,Record Count
AK,Court,Alaska Administrative Office Of The Courts,,2024-11-14 00:00:00,34276
AK,Court,Alaska Administrative Office Of The Courts,Kitchikan Gateway Borough,2025-07-16 00:00:00,580
AK,SOR,Alaska Sex Offender Registry,Chugach Census Area,2024-05-02 00:00:00,6
AK,Court,Alaska Administrative Office Of The Courts,Hoonah-Angoon Census Area,2024-11-14 00:00:00,3677
AK,Court,Alaska Administrative Office Of The Courts,Bristol Bay Borough,2025-07-16 00:00:00,8888
AK,SOR,Alaska Sex Offender Registry,Bristol Bay Borough,2024-05-02 00:00:00,28
AK,SOR,Alaska Sex Offender Registry,,2024-05-02 00:00:00,10
AK,SOR,Alaska Sex Offender Registry,Matanuska-Susitna Borough,2024-05-02 00:00:00,215
AK,SOR,Alaska Sex Offender Registry,Matanuska-Susitna Borough,2024-05-02 00:00:00,2
AK,SOR,Alaska Sex Offender Registry,Yukon-Koyukuk Census Area,2024-05-02 00:00:00,254
AK,Warrant,Ak Anchorage County Most Wanted,Anchorage Municipality,2024-05-02 00:00:00,96
AK,SOR,Alaska Sex Offender Registry,Macomb County,2024-05-02 00:00:00,1
AK,SOR,Alaska Sex Offender Registry,Wrangell City And Borough,2024-05-02 00:00:00,5
AK,SOR,Alaska Sex Offender Registry,Audrain,2024-05-02 00:00:00,1
AK,Court,Alaska Administrative Office Of The Courts,Hoonh-Angoon Census Area,2025-07-16 00:00:00,26
AK,Court,Alaska Administrative Office Of The Courts,Yukon-Koyukuk Census Area,2025-07-16 00:00:00,2373
AK,SOR,Alaska Sex Offender Registry,Fairbanks North Star Borough,2024-05-02 00:00:00,4
AK,Court,Alaska Administrative Office Of The Courts,Petersburg Census Area ,2025-07-16 00:00:00,90
AK,Court,Alaska Administrative Office Of The Courts,Nome Census Area ,2025-07-16 00:00:00,236
AK,Court,Alaska Administrative Office Of The Courts,,2024-11-14 00:00:00,20023
AK,SOR,Sex Offender Registry S2,,2024-05-02 00:00:00,3425
AK,SOR,Alaska Sex Offender Registry,Bethel Census Area,2024-05-02 00:00:00,586
AK,Court,Alaska Administrative Office Of The Courts,North Slope Borough,2025-07-16 00:00:00,21484
AK,Court,Alaska Administrative Office Of The Courts,Kusilvak Census Area,2024-11-14 00:00:00,13808
AK,Court,Alaska Administrative Office Of The Courts,Skagway Municipality,2024-11-14 00:00:00,1177
AK,SOR,Alaska Sex Offender Registry,Sitka City And Borough,2024-05-02 00:00:00,40
AK,SOR,Alaska Sex Offender Registry,Archuleta,2024-05-02 00:00:00,2
AK,Court,Alaska Administrative Office Of The Courts,Haines Borough,2024-11-14 00:00:00,6112
AK,SOR,Alaska Sex Offender Registry,,2025-08-03 00:00:00,3760
AK,SOR,Alaska Sex Offender Registry,Laramie County,2024-05-02 00:00:00,2
AK,Court,Alaska Administrative Office Of The Courts,Aleutians West Borough ,2025-07-16 00:00:00,87
AK,Court,Alaska Administrative Office Of The Courts,Valdez-Cordova Census Area ,2025-07-16 00:00:00,173
AK,SOR,Alaska Sex Offender Registry,Harris,2024-05-02 00:00:00,3
AK,SOR,Alaska Sex Offender Registry,Petersburg Census Area,2024-05-02 00:00:00,11
AK,Court,Alaska Administrative Office Of The Courts,Skagway Municipality ,2025-07-16 00:00:00,14
