State,Total Records
AK,2939102
AL,3191873
AR,5154601
AS,414
AZ,27027716
CA,52778507
CO,3428525
CT,4359511
DC,2047875
DE,85768
FL,95121604
GA,19782444
GU,4077
HI,482535
IA,12145752
ID,882361
IL,16774747
IN,10022753
KS,3512189
KY,13799486
LA,3533287
MA,1687267
MD,8884719
ME,125385
MI,3963693
MN,8459525
MO,7298668
MP,300
MS,3222990
MT,525778
NC,103057015
ND,2036607
NE,1117998
NH,62711
NJ,7245090
NM,4159705
NV,1564595
NY,3229638
OH,31723397
OK,8964875
OR,15253408
PA,31141456
PR,14406
RI,2265849
SC,12044790
SD,635222
TN,23093989
TX,60639223
UK,13301691
UT,14559394
VA,46382937
VI,632
VT,213041
WA,11882704
WI,7661741
WV,781865
WY,172866
