service_id,service_name,category,unit,informdata_cost,automation_spend,platform_overhead,pass_through_cost,internal_cost,total_cost,currency,competitor_name,analogous_service_name,msrp_amount,msrp_currency,price_delta,recommended_price,recommended_margin,pricing_notes,use_cases,compliance_notes,pass_through,evidence_url,observed_date,cost_notes,competitor_notes
COUNTY_CIVIL_LOWER,County Civil Lower,Core Service,per_search,4.25,0.2,0.25,0.0,4.7,4.7,USD,Checkr,County Civil Search,40.0,USD,35.3,38.0,33.3,Recommended price maintains ≥$1 contribution while positioning slightly under competitor MSRP.,"Lower/small claims court activity for tenant, contractor, or small business risk.",Small-claims and eviction records—check local reporting restrictions.,False,https://checkr.com/pricing,2025-10-30,,Flat per-county civil search fee (upper/lower courts).
COUNTY_CIVIL_UPPER,County Civil Upper,Core Service,per_search,4.25,0.2,0.25,0.0,4.7,4.7,USD,Checkr,County Civil Search,40.0,USD,35.3,38.0,33.3,Recommended price maintains ≥$1 contribution while positioning slightly under competitor MSRP.,Upper court civil cases for large claim litigation risk.,State civil court permissible purpose required; respect retention limits.,False,https://checkr.com/pricing,2025-10-30,,Flat per-county civil search fee (upper/lower courts).
COUNTY_CIVIL_UPPER_LOWER_COMBINED,County Civil Uper/Lower Combined,Core Service,per_search,8.5,0.2,0.25,0.0,8.95,8.95,USD,Checkr,County Civil Search (Unlimited),40.0,USD,31.05,38.0,29.05,Recommended price maintains ≥$1 contribution while positioning slightly under competitor MSRP.,Combined court search when both upper/lower visibility required by policy.,,False,https://checkr.com/pricing,2025-10-30,,Published rate per county; unlimited coverage requires volume agreement.
CRIMINAL_ACTIVITY_MONITORING,Criminal Activity Monitoring,Core Service,per_subject_month,1.25,0.0,0.0,0.0,1.25,1.25,USD,Checkr,Continuous Criminal Monitoring,1.7,USD,0.45,1.7,0.45,Pass-through fee; match public MSRP to avoid subsidizing the service.,"Ongoing post-hire monitoring for finance, healthcare, or education organizations that require continuous alerts.","FCRA + state monitoring laws (e.g., CA ICRAA). Provide opt-in and adverse action notices for new hits.",True,https://checkr.com/pricing,2025-10-30,per subject per month,Monthly monitoring fee per individual.
ESSENTIAL_CHECK,Essential Check (SSN + NatCrim + SOR),Core Service,per_applicant,1.9,0.09,0.25,0.0,2.24,2.24,USD,Checkr,Basic+ bundle,29.99,USD,27.75,28.49,26.25,Bundle undercuts Checkr Basic+ while covering vendor spend and ~$0.34 Vuplicity automation/hosting.,"Pre-employment screening bundle covering SSN trace, national criminal, and sex offender search—mirrors Checkr Basic+ for volume hiring funnels.","FCRA governs consumer reports; follow adverse action process. Includes SSN, national criminal, sex offender components; respect local ban-the-box laws.",False,https://checkr.com/pricing,2025-10-30,InformData SSN + NatCrim + SOR plus ~$0.34 Vuplicity automation/hosting allocation.,Benchmarked against Checkr Basic+ MSRP; retains $26+ headroom after automation/hosting.
FEDERAL_CIVIL,Federal Civil,Core Service,per_search,1.75,0.03,0.25,0.0,2.03,2.03,USD,Checkr,Federal Civil Search,15.0,USD,12.97,14.25,12.22,Recommended price maintains ≥$1 contribution while positioning slightly under competitor MSRP.,"Federal civil litigation search for executives, investors, or high liability vendor due diligence.",PACER civil docket; often used for executive/vendor diligence under FCRA.,False,https://checkr.com/pricing,2025-10-30,,Per search pricing.
FEDERAL_CIVIL_MATCH_NO_MATCH,Federal Civil Match/No Match,Core Service,per_search,0.3,0.03,0.25,0.0,0.58,0.58,USD,Checkr,Federal Civil Search (results delivery),15.0,USD,14.42,14.25,13.67,Recommended price maintains ≥$1 contribution while positioning slightly under competitor MSRP.,Result delivery flag tied to federal civil search adjudication.,,False,https://checkr.com/pricing,2025-10-30,,Match/No Match status bundled with federal civil search.
FEDERAL_CRIMINAL,Federal Criminal,Core Service,per_search,1.85,0.03,0.25,0.0,2.13,2.13,USD,Checkr,Federal Criminal Search,10.0,USD,7.87,9.5,7.37,Recommended price maintains ≥$1 contribution while positioning slightly under competitor MSRP.,"Federal district criminal search for roles with federal exposure (banking, defense contractors).",PACER; verify identity and follow FCRA adverse action workflow.,False,https://checkr.com/pricing,2025-10-30,,Per search pricing.
FEDERAL_CRIMINAL_MATCH_NO_MATCH,Federal Criminal Match/No Match,Core Service,per_search,0.3,0.03,0.25,0.0,0.58,0.58,USD,Checkr,Federal Criminal Search (results delivery),10.0,USD,9.42,9.5,8.92,Recommended price maintains ≥$1 contribution while positioning slightly under competitor MSRP.,Result delivery flag tied to federal criminal search adjudication.,,False,https://checkr.com/pricing,2025-10-30,,Match/No Match status bundled with federal criminal search.
INTERNATIONAL_EDUCATION,International Education,Core Service,per_verification,35.0,0.03,0.25,0.0,35.28,35.28,USD,Checkr,International Professional Package,102.94,USD,67.66,97.79,62.51,Recommended price maintains ≥$1 contribution while positioning slightly under competitor MSRP.,International degree verification for knowledge workers or visa processes.,Many countries require signed authorizations; confirm institution accreditation.,False,https://checkr.com/pricing,2025-10-30,,Same package covers degree verification.
