standardized_state,state_name,coverage_domain,source_count,total_records
AK,Alaska,ARREST,1,1891
AK,Alaska,COUNTY,1,2862915
AK,Alaska,SEX_OFFENDER,2,10493
AK,Alaska,STATEWIDE,1,63709
AK,Alaska,WARRANT,1,96
AL,Alabama,ARREST,62,3020447
AL,Alabama,COUNTY,2,1159
AL,Alabama,DOC,1,90885
AL,Alabama,SEX_OFFENDER,1,36949
AL,Alabama,STATEWIDE,3,23130
AL,Alabama,WARRANT,4,19303
AR,Arkansas,ARREST,93,2429985
AR,Arkansas,COUNTY,2,2314136
AR,Arkansas,DOC,1,241457
AR,Arkansas,SEX_OFFENDER,2,27487
AR,Arkansas,STATEWIDE,2,137653
AR,Arkansas,WARRANT,10,3883
AS,American Samoa,SEX_OFFENDER,3,414
AZ,Arizona,ARREST,25,2348914
AZ,Arizona,COUNTY,3,22370920
AZ,Arizona,DOC,1,1716556
AZ,Arizona,SEX_OFFENDER,1,56715
AZ,Arizona,STATEWIDE,4,534085
AZ,Arizona,WARRANT,7,526
CA,California,ARREST,177,7357175
CA,California,COUNTY,37,42919977
CA,California,DOC,1,1182720
CA,California,SEX_OFFENDER,1,213578
CA,California,STATEWIDE,26,798931
CA,California,WARRANT,23,306126
CO,Colorado,ARREST,44,1691626
CO,Colorado,COUNTY,2,1285841
CO,Colorado,DOC,1,162067
CO,Colorado,SEX_OFFENDER,1,45741
CO,Colorado,STATEWIDE,3,208822
CO,Colorado,WARRANT,9,34428
CT,Connecticut,ARREST,9,29963
CT,Connecticut,COUNTY,4,4022427
CT,Connecticut,DOC,1,269735
CT,Connecticut,SEX_OFFENDER,1,28063
CT,Connecticut,STATEWIDE,5,9236
CT,Connecticut,WARRANT,2,87
DC,District of Columbia,DOC,1,65488
DC,District of Columbia,SEX_OFFENDER,3,3491
DC,District of Columbia,STATEWIDE,1,1978896
DE,Delaware,SEX_OFFENDER,2,21958
DE,Delaware,STATEWIDE,4,44083
DE,Delaware,WARRANT,7,19727
FL,Florida,ARREST,158,20487090
FL,Florida,COUNTY,46,63382493
FL,Florida,DOC,1,3657583
FL,Florida,SEX_OFFENDER,5,327686
FL,Florida,STATEWIDE,94,6557411
FL,Florida,WARRANT,33,709341
GA,Georgia,ARREST,140,10724881
GA,Georgia,COUNTY,29,3112860
GA,Georgia,DOC,2,3184948
GA,Georgia,SEX_OFFENDER,1,193676
GA,Georgia,STATEWIDE,29,2565255
GA,Georgia,WARRANT,4,824
GU,Guam,SEX_OFFENDER,1,4077
HI,Hawaii,ARREST,1,68214
HI,Hawaii,COUNTY,1,160913
HI,Hawaii,DOC,1,47754
HI,Hawaii,SEX_OFFENDER,2,19316
HI,Hawaii,STATEWIDE,1,186023
HI,Hawaii,WARRANT,2,315
IA,Iowa,ARREST,42,931543
IA,Iowa,COUNTY,1,5553084
IA,Iowa,DOC,1,1047078
IA,Iowa,SEX_OFFENDER,2,22017
IA,Iowa,STATEWIDE,1,4586630
IA,Iowa,WARRANT,11,5400
ID,Idaho,ARREST,17,432067
ID,Idaho,COUNTY,2,125538
ID,Idaho,DOC,2,254192
ID,Idaho,SEX_OFFENDER,3,15929
ID,Idaho,STATEWIDE,2,15917
ID,Idaho,WARRANT,3,38718
IL,Illinois,ARREST,244,1947340
IL,Illinois,COUNTY,91,5015735
IL,Illinois,DOC,2,8501243
IL,Illinois,SEX_OFFENDER,9,223947
IL,Illinois,STATEWIDE,25,1079642
IL,Illinois,WARRANT,9,6840
IN,Indiana,ARREST,78,2578815
IN,Indiana,COUNTY,5,4451156
IN,Indiana,DOC,2,916698
IN,Indiana,SEX_OFFENDER,1,59941
