standardized_state,state_name,record_type,source_name,coverage_scope,court_level,refresh_date,record_count
AK,Alaska,SOR,Alaska Sex Offender Registry,Columbia,N/A,2024-05-02,2
AK,Alaska,COURT,Alaska Administrative Office Of The Courts,STATEWIDE,STATEWIDE,2024-11-14,34276
AK,Alaska,COURT,Alaska Administrative Office Of The Courts,Kitchikan Gateway Borough,COUNTY,2025-07-16,580
AK,Alaska,SOR,Alaska Sex Offender Registry,Chugach Census Area,N/A,2024-05-02,6
AK,Alaska,COURT,Alaska Administrative Office Of The Courts,Hoonah-Angoon Census Area,COUNTY,2024-11-14,3677
AK,Alaska,COURT,Alaska Administrative Office Of The Courts,Bristol Bay Borough,COUNTY,2025-07-16,8888
AK,Alaska,SOR,Alaska Sex Offender Registry,Bristol Bay Borough,N/A,2024-05-02,28
AK,Alaska,SOR,Alaska Sex Offender Registry,STATEWIDE,N/A,2024-05-02,10
AK,Alaska,SOR,Alaska Sex Offender Registry,Matanuska-Susitna Borough,N/A,2024-05-02,215
AK,Alaska,SOR,Alaska Sex Offender Registry,Matanuska-Susitna Borough,N/A,2024-05-02,2
AK,Alaska,SOR,Alaska Sex Offender Registry,Yukon-Koyukuk Census Area,N/A,2024-05-02,254
AK,Alaska,WARRANT,Ak Anchorage County Most Wanted,Anchorage Municipality,N/A,2024-05-02,96
AK,Alaska,SOR,Alaska Sex Offender Registry,Macomb County,N/A,2024-05-02,1
AK,Alaska,SOR,Alaska Sex Offender Registry,Wrangell City And Borough,N/A,2024-05-02,5
AK,Alaska,SOR,Alaska Sex Offender Registry,Audrain,N/A,2024-05-02,1
AK,Alaska,COURT,Alaska Administrative Office Of The Courts,Hoonh-Angoon Census Area,COUNTY,2025-07-16,26
AK,Alaska,COURT,Alaska Administrative Office Of The Courts,Yukon-Koyukuk Census Area,COUNTY,2025-07-16,2373
AK,Alaska,SOR,Alaska Sex Offender Registry,Fairbanks North Star Borough,N/A,2024-05-02,4
AK,Alaska,COURT,Alaska Administrative Office Of The Courts,Petersburg Census Area,COUNTY,2025-07-16,90
AK,Alaska,COURT,Alaska Administrative Office Of The Courts,Nome Census Area,COUNTY,2025-07-16,236
AK,Alaska,COURT,Alaska Administrative Office Of The Courts,STATEWIDE,STATEWIDE,2024-11-14,20023
AK,Alaska,SOR,Sex Offender Registry S2,STATEWIDE,N/A,2024-05-02,3425
AK,Alaska,SOR,Alaska Sex Offender Registry,Bethel Census Area,N/A,2024-05-02,586
AK,Alaska,COURT,Alaska Administrative Office Of The Courts,North Slope Borough,COUNTY,2025-07-16,21484
AK,Alaska,COURT,Alaska Administrative Office Of The Courts,Kusilvak Census Area,COUNTY,2024-11-14,13808
AK,Alaska,COURT,Alaska Administrative Office Of The Courts,Skagway Municipality,COUNTY,2024-11-14,1177
