standardized_state,state_name,record_count
AK,Alaska,2939104
AL,Alabama,3191873
AR,Arkansas,5154601
AS,American Samoa,414
AZ,Arizona,27027716
CA,California,52778507
CO,Colorado,3428525
CT,Connecticut,4359511
DC,District of Columbia,2047875
DE,Delaware,85768
FL,Florida,95121604
GA,Georgia,19782444
GU,Guam,4077
HI,Hawaii,482535
IA,Iowa,12145752
ID,Idaho,882361
IL,Illinois,16774747
IN,Indiana,10022753
KS,Kansas,3512189
KY,Kentucky,13799486
LA,Louisiana,3533287
MA,Massachusetts,1687267
MD,Maryland,8884719
ME,Maine,125385
MI,Michigan,3963693
MN,Minnesota,8459525
MO,Missouri,7298668
MP,Northern Mariana Islands,300
MS,Mississippi,3222990
MT,Montana,525778
NC,North Carolina,103057015
ND,North Dakota,2036607
NE,Nebraska,1117998
NH,New Hampshire,62711
NJ,New Jersey,7245090
NM,New Mexico,4159705
NV,Nevada,1564595
NY,New York,3229638
OH,Ohio,31723397
OK,Oklahoma,8964875
OR,Oregon,15253408
PA,Pennsylvania,31141456
PR,Puerto Rico,14406
RI,Rhode Island,2265849
SC,South Carolina,12044790
SD,South Dakota,635222
TN,Tennessee,23093989
TX,Texas,60639223
UK,United Kingdom,13301691
UT,Utah,14559394
VA,Virginia,46382937
VI,U.S. Virgin Islands,632
VT,Vermont,213041
WA,Washington,11882704
WI,Wisconsin,7661741
WV,West Virginia,781865
WY,Wyoming,172866
