service_id,service_name,category,jurisdiction,unit,informdata_cost,cost_currency,platform_cost_default,effective_date,approval_ref,source_system
DOMESTIC_CRIMINAL_AK,Domestic Criminal,Statewide Criminal,AK - All Counties,per_search,1.45,USD,0.0,2025-07-01,FIN-2025-07-18,Vuplicity LLC Pricing 052925.xlsx
DOMESTIC_CRIMINAL_AL,Domestic Criminal,Statewide Criminal,AL - All Counties,per_search,1.45,USD,0.0,2025-07-01,FIN-2025-07-18,Vuplicity LLC Pricing 052925.xlsx
DOMESTIC_CRIMINAL_AR,Domestic Criminal,Statewide Criminal,AR - All Counties,per_search,3.65,USD,0.0,2025-07-01,FIN-2025-07-18,Vuplicity LLC Pricing 052925.xlsx
DOMESTIC_CRIMINAL_AZ,Domestic Criminal,Statewide Criminal,AZ - All Remaining Counties,per_search,4.5,USD,0.0,2025-07-01,FIN-2025-07-18,Vuplicity LLC Pricing 052925.xlsx
DOMESTIC_CRIMINAL_AZ,Domestic Criminal,Statewide Criminal,AZ - Maricopa - Justice & District Courts,per_search,4.0,USD,0.0,2025-07-01,FIN-2025-07-18,Vuplicity LLC Pricing 052925.xlsx
DOMESTIC_CRIMINAL_AZ,Domestic Criminal,Statewide Criminal,AZ - Maricopa - Justice Court Only,per_search,2.25,USD,0.0,2025-07-01,FIN-2025-07-18,Vuplicity LLC Pricing 052925.xlsx
DOMESTIC_CRIMINAL_CA,Domestic Criminal,Statewide Criminal,CA - All Remaining Counties,per_search,3.0,USD,0.0,2025-07-01,FIN-2025-07-18,Vuplicity LLC Pricing 052925.xlsx
DOMESTIC_CRIMINAL_CA,Domestic Criminal,Statewide Criminal,CA - Automated Counties (Full Extract Only - Excluding Los Angeles),per_search,1.45,USD,0.0,2025-07-01,FIN-2025-07-18,Vuplicity LLC Pricing 052925.xlsx
DOMESTIC_CRIMINAL_CA,Domestic Criminal,Statewide Criminal,CA - Los Angeles,per_search,2.65,USD,0.0,2025-07-01,FIN-2025-07-18,Vuplicity LLC Pricing 052925.xlsx
DOMESTIC_CRIMINAL_CO,Domestic Criminal,Statewide Criminal,CO - All Counties,per_search,3.35,USD,0.0,2025-07-01,FIN-2025-07-18,Vuplicity LLC Pricing 052925.xlsx
DOMESTIC_CRIMINAL_CT,Domestic Criminal,Statewide Criminal,CT - All Counties,per_search,3.4,USD,0.0,2025-07-01,FIN-2025-07-18,Vuplicity LLC Pricing 052925.xlsx
DOMESTIC_CRIMINAL_DC,Domestic Criminal,Statewide Criminal,DC - All Counties,per_search,3.45,USD,0.0,2025-07-01,FIN-2025-07-18,Vuplicity LLC Pricing 052925.xlsx
DOMESTIC_CRIMINAL_DE,Domestic Criminal,Statewide Criminal,DE - All Counties,per_search,4.5,USD,0.0,2025-07-01,FIN-2025-07-18,Vuplicity LLC Pricing 052925.xlsx
DOMESTIC_CRIMINAL_FL,Domestic Criminal,Statewide Criminal,FL - All Remaining Counties,per_search,3.5,USD,0.0,2025-07-01,FIN-2025-07-18,Vuplicity LLC Pricing 052925.xlsx
DOMESTIC_CRIMINAL_FL,Domestic Criminal,Statewide Criminal,FL - Automated Counties,per_search,1.45,USD,0.0,2025-07-01,FIN-2025-07-18,Vuplicity LLC Pricing 052925.xlsx
DOMESTIC_CRIMINAL_GA,Domestic Criminal,Statewide Criminal,GA - All Remaining Counties,per_search,3.95,USD,0.0,2025-07-01,FIN-2025-07-18,Vuplicity LLC Pricing 052925.xlsx
DOMESTIC_CRIMINAL_GA,Domestic Criminal,Statewide Criminal,"GA - Atlanta Metro - (Cherokee, Cobb, De Kalb, Gwinnett, Fulton)",per_search,2.25,USD,0.0,2025-07-01,FIN-2025-07-18,Vuplicity LLC Pricing 052925.xlsx
DOMESTIC_CRIMINAL_HI,Domestic Criminal,Statewide Criminal,HI - All Counties,per_search,1.45,USD,0.0,2025-07-01,FIN-2025-07-18,Vuplicity LLC Pricing 052925.xlsx
DOMESTIC_CRIMINAL_IA,Domestic Criminal,Statewide Criminal,IA - All Counties,per_search,1.45,USD,0.0,2025-07-01,FIN-2025-07-18,Vuplicity LLC Pricing 052925.xlsx
DOMESTIC_CRIMINAL_ID,Domestic Criminal,Statewide Criminal,ID - All Counties,per_search,2.95,USD,0.0,2025-07-01,FIN-2025-07-18,Vuplicity LLC Pricing 052925.xlsx
DOMESTIC_CRIMINAL_IL,Domestic Criminal,Statewide Criminal,IL - All Remaining Counties,per_search,2.7,USD,0.0,2025-07-01,FIN-2025-07-18,Vuplicity LLC Pricing 052925.xlsx
DOMESTIC_CRIMINAL_IL,Domestic Criminal,Statewide Criminal,IL - Automated Counties,per_search,1.45,USD,0.0,2025-07-01,FIN-2025-07-18,Vuplicity LLC Pricing 052925.xlsx
DOMESTIC_CRIMINAL_IL,Domestic Criminal,Statewide Criminal,IL - Cook,per_search,3.35,USD,0.0,2025-07-01,FIN-2025-07-18,Vuplicity LLC Pricing 052925.xlsx
DOMESTIC_CRIMINAL_IN,Domestic Criminal,Statewide Criminal,IN - All Remaining Counties,per_search,5.55,USD,0.0,2025-07-01,FIN-2025-07-18,Vuplicity LLC Pricing 052925.xlsx
DOMESTIC_CRIMINAL_IN,Domestic Criminal,Statewide Criminal,IN - Automated Counties,per_search,1.45,USD,0.0,2025-07-01,FIN-2025-07-18,Vuplicity LLC Pricing 052925.xlsx
DOMESTIC_CRIMINAL_KS,Domestic Criminal,Statewide Criminal,KS - All Counties,per_search,1.45,USD,0.0,2025-07-01,FIN-2025-07-18,Vuplicity LLC Pricing 052925.xlsx
DOMESTIC_CRIMINAL_KY,Domestic Criminal,Statewide Criminal,KY - All Counties,per_search,5.25,USD,0.0,2025-07-01,FIN-2025-07-18,Vuplicity LLC Pricing 052925.xlsx
DOMESTIC_CRIMINAL_LA,Domestic Criminal,Statewide Criminal,LA - All Counties,per_search,3.8,USD,0.0,2025-07-01,FIN-2025-07-18,Vuplicity LLC Pricing 052925.xlsx
DOMESTIC_CRIMINAL_MA,Domestic Criminal,Statewide Criminal,MA - All Counties,per_search,4.9,USD,0.0,2025-07-01,FIN-2025-07-18,Vuplicity LLC Pricing 052925.xlsx
DOMESTIC_CRIMINAL_MD,Domestic Criminal,Statewide Criminal,MD - All Counties,per_search,1.45,USD,0.0,2025-07-01,FIN-2025-07-18,Vuplicity LLC Pricing 052925.xlsx
DOMESTIC_CRIMINAL_ME,Domestic Criminal,Statewide Criminal,ME - All Counties,per_search,2.3,USD,0.0,2025-07-01,FIN-2025-07-18,Vuplicity LLC Pricing 052925.xlsx
DOMESTIC_CRIMINAL_MI,Domestic Criminal,Statewide Criminal,MI - All Remaining Counties,per_search,5.15,USD,0.0,2025-07-01,FIN-2025-07-18,Vuplicity LLC Pricing 052925.xlsx
