standardized_state,state_name,record_type,source_name,coverage_scope,refresh_date
AK,Alaska,SOR,Alaska Sex Offender Registry,Columbia,2024-05-02
AK,Alaska,SOR,Alaska Sex Offender Registry,Chugach Census Area,2024-05-02
AK,Alaska,SOR,Alaska Sex Offender Registry,Bristol Bay Borough,2024-05-02
AK,Alaska,SOR,Alaska Sex Offender Registry,STATEWIDE,2024-05-02
AK,Alaska,SOR,Alaska Sex Offender Registry,Matanuska-Susitna Borough,2024-05-02
AK,Alaska,SOR,Alaska Sex Offender Registry,Matanuska-Susitna Borough,2024-05-02
AK,Alaska,SOR,Alaska Sex Offender Registry,Yukon-Koyukuk Census Area,2024-05-02
AK,Alaska,WARRANT,Ak Anchorage County Most Wanted,Anchorage Municipality,2024-05-02
AK,Alaska,SOR,Alaska Sex Offender Registry,Macomb County,2024-05-02
AK,Alaska,SOR,Alaska Sex Offender Registry,Wrangell City And Borough,2024-05-02
AK,Alaska,SOR,Alaska Sex Offender Registry,Audrain,2024-05-02
AK,Alaska,SOR,Alaska Sex Offender Registry,Fairbanks North Star Borough,2024-05-02
AK,Alaska,SOR,Sex Offender Registry S2,STATEWIDE,2024-05-02
AK,Alaska,SOR,Alaska Sex Offender Registry,Bethel Census Area,2024-05-02
AK,Alaska,SOR,Alaska Sex Offender Registry,Sitka City And Borough,2024-05-02
AK,Alaska,SOR,Alaska Sex Offender Registry,Archuleta,2024-05-02
AK,Alaska,SOR,Alaska Sex Offender Registry,Laramie County,2024-05-02
AK,Alaska,SOR,Alaska Sex Offender Registry,Harris,2024-05-02
AK,Alaska,SOR,Alaska Sex Offender Registry,Petersburg Census Area,2024-05-02
AK,Alaska,SOR,Alaska Sex Offender Registry,Lane,2024-05-02
AK,Alaska,SOR,Alaska Sex Offender Registry,Kenai Peninsula Borough,2024-05-02
AK,Alaska,COURT,Alaska Administrative Office Of The Courts,Denali Borough,2024-05-02
AK,Alaska,SOR,Alaska Sex Offender Registry,North Slope Borough,2024-05-02
AK,Alaska,SOR,Alaska Sex Offender Registry,Northwest Arctic Borough,2024-05-02
